url_path,views_total,views_unique
/aws-samples/guardduty-to-sns-mail/blob/main/guardduty-to-sns.yaml,17,1
/aws-samples/guardduty-to-sns-mail/blob/main/guardduty_eb/guardduty_eb_stack.py,10,2
/aws-samples/guardduty-to-sns-mail/tree/main,10,2
/aws-samples/guardduty-to-sns-mail/blob/main/CONTRIBUTING.md,10,1
/aws-samples/guardduty-to-sns-mail/tree/main/architecture,5,1
/aws-samples/guardduty-to-sns-mail/blob/main/architecture/GuardDuty%20to%20SNS.png,4,2
/aws-samples/guardduty-to-sns-mail/blob/main/architecture/mail-sample.png,4,2
/aws-samples/guardduty-to-sns-mail/tree/main/guardduty_eb,4,2
/aws-samples/guardduty-to-sns-mail/blob/main/cdk.json,4,1
/aws-samples/guardduty-to-sns-mail/blob/main/README.md,4,1
